date,campaign_id,campaign_name,channel,region,weather_severity_index,impressions,clicks,spend_cad,conversions,revenue_cad,cpm_cad,cpc_cad,roas
2025-11-24,CMP1005,Local_News_Sponsorship,Native,Ontario,0.166,58762,1074.3,380.69,33.16,2903.09,6.48,0.354,7.626
2025-11-23,CMP1000,Winter_Storm_Alert_Promo,Display,British Columbia,0.383,40999,1024.4,380.79,49.62,3243.02,9.29,0.372,8.517
2025-12-13,CMP1002,Premium_Upgrade_Q1,Search,Alberta,0.669,53967,514.3,395.21,27.7,830.82,7.32,0.768,2.102
2026-04-10,CMP1001,App_Download_Push,Connected TV,Quebec,0.456,60503,862.1,413.34,30.83,3130.16,6.83,0.479,7.573
2026-01-26,CMP1000,Winter_Storm_Alert_Promo,Video,Quebec,0.704,76192,1404.3,1009.18,64.0,5055.94,13.25,0.719,5.01
2026-04-01,CMP1000,Winter_Storm_Alert_Promo,Native,Ontario,0.668,30651,621.3,284.28,25.36,2589.11,9.27,0.458,9.108
2025-12-14,CMP1006,Spring_Forecast_Launch,Connected TV,Atlantic,0.816,44076,1309.5,297.43,38.18,1598.11,6.75,0.227,5.373
2026-03-11,CMP1001,App_Download_Push,Search,Quebec,0.66,43597,699.3,330.9,43.68,5180.08,7.59,0.473,15.654
2026-01-27,CMP1000,Winter_Storm_Alert_Promo,Video,Ontario,0.948,141481,1594.6,1730.26,79.15,7915.84,12.23,1.085,4.575
2025-12-27,CMP1002,Premium_Upgrade_Q1,Display,Ontario,0.815,45477,794.3,499.36,22.39,1558.65,10.98,0.629,3.121
2026-04-05,CMP1000,Winter_Storm_Alert_Promo,Connected TV,Alberta,0.569,79255,1065.5,850.48,28.81,1296.22,10.73,0.798,1.524
2026-03-22,CMP1006,Spring_Forecast_Launch,Native,Alberta,0.353,41132,499.4,117.82,33.33,1602.52,2.86,0.236,13.601
2026-01-18,CMP1004,Brand_Lift_National,Display,Alberta,0.731,52533,304.5,682.88,10.69,668.52,13.0,2.243,0.979
2026-03-09,CMP1006,Spring_Forecast_Launch,Connected TV,Ontario,0.405,56558,1652.7,350.49,33.49,2394.79,6.2,0.212,6.833
2026-03-25,CMP1004,Brand_Lift_National,Video,Quebec,0.47,63064,1268.0,784.52,50.52,3618.94,12.44,0.619,4.613
2025-11-20,CMP1006,Spring_Forecast_Launch,Display,Atlantic,0.355,32463,808.0,261.23,37.74,2865.5,8.05,0.323,10.969
2026-01-12,CMP1001,App_Download_Push,Connected TV,British Columbia,0.694,49005,651.0,359.19,29.03,991.9,7.33,0.552,2.762
2025-11-02,CMP1005,Local_News_Sponsorship,Search,Alberta,0.14,62397,1807.4,498.37,17.98,1745.44,7.99,0.276,3.502
2026-03-24,CMP1000,Winter_Storm_Alert_Promo,Video,British Columbia,0.333,63388,510.3,442.66,12.41,738.02,6.98,0.867,1.667
2026-04-25,CMP1006,Spring_Forecast_Launch,Video,Quebec,0.536,53444,940.3,400.98,11.99,1005.01,7.5,0.426,2.506
2026-01-24,CMP1006,Spring_Forecast_Launch,Connected TV,Ontario,0.625,61489,625.9,473.78,36.08,3768.68,7.71,0.757,7.955
2026-04-03,CMP1003,Severe_Weather_Awareness,Display,Ontario,0.601,62015,765.6,585.35,15.62,1237.92,9.44,0.765,2.115
2025-11-18,CMP1005,Local_News_Sponsorship,Video,Atlantic,0.198,40884,758.3,243.67,24.39,1966.63,5.96,0.321,8.071
2026-04-05,CMP1003,Severe_Weather_Awareness,Display,British Columbia,0.569,50890,984.7,404.99,40.86,2255.61,7.96,0.411,5.57
2025-12-07,CMP1007,B2B_Partner_Coop,Display,British Columbia,0.618,61686,985.9,369.55,13.72,652.32,5.99,0.375,1.765
2026-04-04,CMP1004,Brand_Lift_National,Connected TV,British Columbia,0.634,64032,862.0,571.5,11.7,373.24,8.93,0.663,0.653
2025-11-26,CMP1006,Spring_Forecast_Launch,Video,Alberta,0.145,37679,395.6,488.48,21.09,1084.51,12.96,1.235,2.22
2025-12-14,CMP1001,App_Download_Push,Video,British Columbia,0.816,62496,493.1,840.01,12.64,1111.76,13.44,1.704,1.324
2025-11-07,CMP1006,Spring_Forecast_Launch,Native,Quebec,0.262,52826,219.4,426.37,3.64,307.41,8.07,1.943,0.721
2025-11-22,CMP1002,Premium_Upgrade_Q1,Native,Atlantic,0.317,48454,842.2,195.43,28.08,2251.6,4.03,0.232,11.521
2026-01-11,CMP1005,Local_News_Sponsorship,Video,Atlantic,0.837,41812,730.9,313.04,27.16,1664.42,7.49,0.428,5.317
2026-02-05,CMP1002,Premium_Upgrade_Q1,Search,Quebec,0.851,56612,856.0,330.76,43.95,3722.61,5.84,0.386,11.255
2026-04-04,CMP1006,Spring_Forecast_Launch,Display,Alberta,0.634,67309,1262.5,616.83,52.14,2435.39,9.16,0.489,3.948
2025-11-27,CMP1002,Premium_Upgrade_Q1,Search,British Columbia,0.377,60140,1444.0,254.6,47.83,3920.6,4.23,0.176,15.399
2026-01-30,CMP1001,App_Download_Push,Search,Ontario,0.87,73727,1797.6,394.61,45.7,4674.21,5.35,0.22,11.845
2026-03-15,CMP1004,Brand_Lift_National,Video,British Columbia,0.615,46232,338.7,246.05,14.17,855.26,5.32,0.726,3.476
2025-11-13,CMP1001,App_Download_Push,Search,Atlantic,0.34,37739,622.5,400.63,27.88,2514.06,10.62,0.644,6.275
2025-11-02,CMP1007,B2B_Partner_Coop,Native,Alberta,0.14,51841,848.9,509.35,24.98,1534.19,9.83,0.6,3.012
2025-11-29,CMP1002,Premium_Upgrade_Q1,Connected TV,British Columbia,0.374,28728,708.6,267.39,44.24,3810.67,9.31,0.377,14.252
2025-11-20,CMP1003,Severe_Weather_Awareness,Video,British Columbia,0.355,65115,623.6,511.12,7.56,416.76,7.85,0.82,0.815
2026-02-21,CMP1005,Local_News_Sponsorship,Connected TV,Alberta,0.763,59274,1506.2,437.75,62.23,3679.44,7.39,0.291,8.405
2026-01-17,CMP1001,App_Download_Push,Search,Atlantic,0.604,47573,934.7,267.71,21.59,842.2,5.63,0.286,3.146
2025-12-28,CMP1001,App_Download_Push,Search,Quebec,0.826,62303,630.3,419.48,27.01,2243.73,6.73,0.666,5.349
2026-02-12,CMP1006,Spring_Forecast_Launch,Search,British Columbia,0.805,86770,1539.3,918.09,60.69,3690.71,10.58,0.596,4.02
2025-11-09,CMP1003,Severe_Weather_Awareness,Native,Atlantic,0.317,44237,751.2,352.6,35.67,815.26,7.97,0.469,2.312
2025-12-03,CMP1001,App_Download_Push,Search,Alberta,0.811,60360,795.3,463.55,25.75,826.21,7.68,0.583,1.782
2026-04-22,CMP1001,App_Download_Push,Search,British Columbia,0.651,50121,471.7,450.22,17.43,669.9,8.98,0.955,1.488
2026-03-20,CMP1003,Severe_Weather_Awareness,Search,Alberta,0.502,157087,4154.8,2543.94,168.14,7596.39,16.19,0.612,2.986
2025-11-07,CMP1006,Spring_Forecast_Launch,Video,Quebec,0.262,55398,622.1,578.15,24.52,2447.25,10.44,0.929,4.233
2026-03-01,CMP1003,Severe_Weather_Awareness,Connected TV,Quebec,0.6,79344,1946.1,407.12,86.79,5483.62,5.13,0.209,13.469
2026-01-14,CMP1000,Winter_Storm_Alert_Promo,Search,Alberta,0.737,72645,1190.9,757.58,43.61,3565.63,10.43,0.636,4.707
2026-02-21,CMP1001,App_Download_Push,Native,Ontario,0.763,30125,238.3,234.26,10.17,735.58,7.78,0.983,3.14
2026-01-05,CMP1000,Winter_Storm_Alert_Promo,Video,British Columbia,0.64,8857,158.7,75.88,3.45,126.44,8.57,0.478,1.666
2026-04-23,CMP1003,Severe_Weather_Awareness,Search,Ontario,0.419,49108,494.2,433.28,24.51,1197.81,8.82,0.877,2.765
2026-03-23,CMP1000,Winter_Storm_Alert_Promo,Video,Atlantic,0.372,10750,316.8,114.19,9.9,633.24,10.62,0.36,5.545
2025-11-27,CMP1006,Spring_Forecast_Launch,Native,Atlantic,0.377,58078,921.9,481.49,24.88,1652.13,8.29,0.522,3.431
2025-12-20,CMP1001,App_Download_Push,Search,Atlantic  ,0.912,46240,46.2,355.3,0.91,63.24,7.68,7.684,0.178
2026-03-24,CMP1005,Local_News_Sponsorship,Display,Atlantic,0.333,39087,713.5,359.54,18.6,1327.14,9.2,0.504,3.691
2026-02-16,CMP1001,App_Download_Push,Search,British Columbia,0.765,57204,1051.1,383.14,31.23,2583.09,6.7,0.364,6.742
2026-01-08,CMP1005,Local_News_Sponsorship,Connected TV,Alberta,0.789,78549,2444.7,427.12,104.56,5973.01,5.44,0.175,13.984
2026-01-10,CMP1005,Local_News_Sponsorship,Search,Ontario,0.617,71363,1385.6,571.11,74.65,3628.87,8.0,0.412,6.354
2026-01-04,CMP1004,Brand_Lift_National,Search,Ontario,0.762,73181,1242.2,720.81,63.4,3180.76,9.85,0.58,4.413
2026-01-13,CMP1003,Severe_Weather_Awareness,Connected TV,Quebec,0.709,46981,526.0,217.47,13.87,794.7,4.63,0.413,3.654
2026-04-24,CMP1006,Spring_Forecast_Launch,Video,Alberta,0.658,77457,653.5,786.89,17.51,809.56,10.16,1.204,1.029
2026-01-12,CMP1003,Severe_Weather_Awareness,Display,Atlantic,0.694,70969,498.4,687.44,10.6,598.28,9.69,1.379,0.87
2026-04-20,CMP1001,App_Download_Push,Search,British Columbia,0.615,60363,948.6,350.76,37.36,1640.92,5.81,0.37,4.678
2025-11-23,CMP1006,Spring_Forecast_Launch,Video,Alberta,0.383,55345,608.2,511.41,27.18,1628.89,9.24,0.841,3.185
2026-02-13,CMP1006,Spring_Forecast_Launch,Video,Quebec,0.8,49577,1403.5,591.79,63.6,3045.28,11.94,0.422,5.146
2026-01-02,CMP1001,App_Download_Push,Native,Atlantic,0.632,59563,346.9,575.37,16.68,1260.4,9.66,1.658,2.191
2026-04-18,CMP1000,Winter_Storm_Alert_Promo,Search,Alberta,0.601,98590,1101.9,723.46,51.02,3765.04,7.34,0.657,5.204
2026-03-03,CMP1006,Spring_Forecast_Launch,Video,Quebec,0.369,63657,1051.2,427.29,30.36,3108.31,6.71,0.406,7.274
2026-02-01,CMP1005,Local_News_Sponsorship,Native,Atlantic,0.705,36571,701.6,400.19,32.85,2073.99,10.94,0.57,5.183
2026-02-24,CMP1006,Spring_Forecast_Launch,Display,British Columbia,0.857,48304,219.8,692.23,9.0,621.73,14.33,3.149,0.898
2026-02-24,CMP1007,B2B_Partner_Coop,Search,Quebec,0.857,52655,1258.2,323.3,14.97,1139.14,6.14,0.257,3.523
2026-04-11,CMP1006,Spring_Forecast_Launch,Display,Ontario,0.61,55063,647.8,276.49,0.65,37.26,5.02,0.427,0.135
2025-11-09,CMP1000,Winter_Storm_Alert_Promo,Native,British Columbia,0.317,50256,655.7,491.24,25.19,1438.36,9.77,0.749,2.928
2025-12-27,CMP1001,App_Download_Push,Connected TV,Ontario,0.815,114742,2781.7,2705.16,103.43,4606.08,23.58,0.972,1.703
2025-11-21,CMP1004,Brand_Lift_National,Native,Atlantic,0.139,47732,718.7,274.39,10.05,680.81,5.75,0.382,2.481
2026-02-27,CMP1000,Winter_Storm_Alert_Promo,Video,Ontario,0.742,33996,580.7,264.51,32.25,1630.72,7.78,0.456,6.165
2026-01-20,CMP1004,Brand_Lift_National,Video,Ontario,0.941,29172,520.6,272.87,24.19,1848.73,9.35,0.524,6.775
2026-01-01,CMP1000,Winter_Storm_Alert_Promo,Search,Quebec,0.954,39813,95.9,39.81,3.65,406.25,1.0,0.415,10.204
2026-01-12,CMP1006,Spring_Forecast_Launch,Connected TV,Alberta,0.694,51732,855.2,487.67,23.07,1813.68,9.43,0.57,3.719
2025-12-31,CMP1007,B2B_Partner_Coop,Search,Quebec,0.82,66115,1037.9,686.0,70.16,3666.31,10.38,0.661,5.344
2026-03-09,CMP1001,App_Download_Push,Native,Atlantic,0.405,35235,70.3,264.38,3.94,243.87,7.5,3.76,0.922
2026-02-19,CMP1000,Winter_Storm_Alert_Promo,Video,Atlantic,0.729,62044,740.7,593.62,33.15,3929.95,9.57,0.801,6.62
2025-12-08,CMP1004,Brand_Lift_National,Native,Alberta,0.915,75812,1669.4,452.79,57.48,2307.73,5.97,0.271,5.097
2026-03-17,CMP1004,Brand_Lift_National,Display,Quebec,0.511,26910,761.2,91.5,21.51,1436.66,3.4,0.12,15.701
2025-11-29,CMP1007,B2B_Partner_Coop,Search,Quebec,0.374,51694,797.1,548.98,23.69,1073.51,10.62,0.689,1.955
2026-03-15,CMP1002,Premium_Upgrade_Q1,Video,Ontario,0.615,47977,1035.7,311.53,76.94,4728.99,6.49,0.301,15.18
2026-01-16,CMP1005,Local_News_Sponsorship,Native,Atlantic,0.809,54804,391.3,327.09,21.13,1713.83,5.97,0.836,5.24
2025-12-16,CMP1003,Severe_Weather_Awareness,Display,Ontario,0.729,76254,1529.4,337.96,58.17,2170.9,4.43,0.221,6.424
2026-04-10,CMP1003,Severe_Weather_Awareness,Video,Alberta,0.456,52794,823.8,463.06,9.36,542.12,8.77,0.562,1.171
2025-11-22,CMP1004,Brand_Lift_National,Native,British Columbia,0.317,56847,56.8,365.0,2.41,151.86,6.42,6.421,0.416
2025-11-04,CMP1006,Spring_Forecast_Launch,Search,,0.314,77315,,,36.33,2683.05,10.64,,3.262
2026-01-19,CMP1001,App_Download_Push,Native,Alberta,0.774,47176,393.8,438.29,20.1,1180.32,9.29,1.113,2.693
2025-11-10,CMP1000,Winter_Storm_Alert_Promo,Connected TV,Atlantic,0.221,75897,1737.1,413.67,47.84,3249.11,5.45,0.238,7.854
2025-11-25,CMP1000,Winter_Storm_Alert_Promo,Video,British Columbia,0.388,68886,1284.2,598.22,36.99,1612.27,8.68,0.466,2.695
2026-04-04,CMP1001,App_Download_Push,Display,Alberta,0.634,70756,402.4,568.51,17.62,886.6,8.03,1.413,1.56
2026-02-02,CMP1007,B2B_Partner_Coop,Native,Ontario,0.952,88852,1816.9,715.61,132.55,7257.35,8.05,0.394,10.141
2026-02-06,CMP1004,Brand_Lift_National,Connected TV,Atlantic,0.755,43559,796.4,474.65,37.37,2474.27,10.9,0.596,5.213
2025-12-11,CMP1002,Premium_Upgrade_Q1,Video,Atlantic,0.982,78638,327.6,1181.77,10.28,975.75,15.03,3.608,0.826
2026-03-08,CMP1004,Brand_Lift_National,Video,Alberta,0.319,34070,775.1,184.63,16.86,1295.26,5.42,0.238,7.015
2026-01-16,CMP1001,App_Download_Push,Connected TV,Ontario,0.809,71917,1328.5,426.85,90.27,6146.09,5.94,0.321,14.399
2025-12-16,CMP1005,Local_News_Sponsorship,Display,Atlantic,0.729,40464,1038.7,470.12,39.07,1595.46,11.62,0.453,3.394
2026-03-08,CMP1000,Winter_Storm_Alert_Promo,Native,Ontario,0.319,70658,1114.2,593.11,67.73,6040.87,8.39,0.532,10.185
2026-03-17,CMP1004,Brand_Lift_National,Video,British Columbia,0.511,73546,1139.3,526.4,73.34,3833.04,7.16,0.462,7.282
2026-01-28,CMP1003,Severe_Weather_Awareness,Video,Ontario,0.886,87347,1078.8,1156.72,5.44,149.8,13.24,1.072,0.13
2025-12-19,CMP1003,Severe_Weather_Awareness,Search,British Columbia,0.843,52216,1080.2,637.97,30.72,1699.55,12.22,0.591,2.664
2025-12-30,CMP1004,Brand_Lift_National,Display,British Columbia,0.769,64987,302.1,343.18,8.5,682.38,5.28,1.136,1.988
2026-04-29,CMP1004,Brand_Lift_National,Native,Ontario,0.619,60780,836.5,786.86,40.21,2796.23,12.95,0.941,3.554
2026-01-13,CMP1005,Local_News_Sponsorship,Search,Atlantic,0.709,60147,1466.0,300.35,51.02,1970.53,4.99,0.205,6.561
2026-04-07,CMP1001,App_Download_Push,Native,Alberta,0.421,17052,133.3,117.05,8.95,519.54,6.86,0.878,4.439
2026-03-24,CMP1001,App_Download_Push,Display,Quebec,0.333,29044,476.4,300.91,14.41,579.82,10.36,0.632,1.927
2026-01-21,CMP1001,App_Download_Push,Video,Ontario,0.92,41460,639.4,278.83,15.26,1120.99,6.73,0.436,4.02
2026-01-27,CMP1006,Spring_Forecast_Launch,Connected TV,Quebec,0.948,95605,,1316.66,73.91,3469.19,13.77,,2.635
2026-03-16,CMP1004,Brand_Lift_National,Video,Quebec,0.303,145762,1378.1,2040.32,60.84,4807.28,14.0,1.481,2.356
2025-11-15,CMP1000,Winter_Storm_Alert_Promo,Video,Atlantic  ,0.186,62765,860.4,813.18,31.66,917.77,12.96,0.945,1.129
2026-04-04,CMP1006,Spring_Forecast_Launch,Display,Quebec,0.634,65428,799.7,642.18,23.66,1239.81,9.82,0.803,1.931
2026-04-02,CMP1004,Brand_Lift_National,Search,Ontario,0.656,88203,1515.9,966.9,31.68,1502.21,10.96,0.638,1.554
2025-12-04,CMP1002,Premium_Upgrade_Q1,Display,Atlantic,0.786,95459,1267.2,2533.46,59.45,6263.21,26.54,1.999,2.472
2026-02-14,CMP1004,Brand_Lift_National,Video,Ontario,0.844,76563,434.8,842.75,27.63,619.35,11.01,1.938,0.735
2025-12-30,CMP1006,Spring_Forecast_Launch,Display,Quebec,0.769,20825,349.6,115.49,19.47,1324.84,5.55,0.33,11.472
2026-04-27,CMP1005,Local_News_Sponsorship,Connected TV,Ontario,0.511,73850,868.0,316.95,47.32,3464.64,4.29,0.365,10.931
2025-12-28,CMP1006,Spring_Forecast_Launch,Display,Atlantic,0.826,34090,553.8,246.88,28.6,1904.4,7.24,0.446,7.714
2026-04-15,CMP1004,Brand_Lift_National,Native,Alberta,0.56,54121,701.5,157.9,27.44,2687.83,2.92,0.225,17.022
2026-01-28,CMP1006,Spring_Forecast_Launch,Display,Quebec,0.886,52725,1248.9,427.56,61.35,1825.93,8.11,0.342,4.271
2026-03-27,CMP1002,Premium_Upgrade_Q1,Display,Ontario,0.462,78732,2108.9,1792.78,33.01,2644.25,22.77,0.85,1.475
2025-11-20,CMP1003,Severe_Weather_Awareness,Video,Quebec,0.355,63581,681.7,707.64,11.77,471.33,11.13,1.038,0.666
2026-04-20,CMP1004,Brand_Lift_National,Video,British Columbia,0.615,31721,178.1,240.47,10.92,784.54,7.58,1.351,3.263
2025-12-01,CMP1004,Brand_Lift_National,Connected TV,Ontario,0.68,53567,915.7,388.15,38.52,3985.8,7.25,0.424,10.269
2026-01-22,CMP1000,Winter_Storm_Alert_Promo,Native,Atlantic,0.923,84320,2166.8,1060.2,60.15,3714.46,12.57,0.489,3.504
2026-03-22,CMP1002,Premium_Upgrade_Q1,Display,Quebec,0.353,71563,1458.6,645.31,108.02,6155.79,9.02,0.442,9.539
2026-02-23,CMP1006,Spring_Forecast_Launch,Native,Atlantic,0.77,56814,814.7,619.91,20.69,906.1,10.91,0.761,1.462
2026-02-23,CMP1007,B2B_Partner_Coop,Display,Quebec,0.77,59982,1119.1,415.92,30.65,2222.41,6.93,0.372,5.343
2026-02-21,CMP1003,Severe_Weather_Awareness,Display,Alberta,0.763,31605,288.0,225.26,8.8,484.16,7.13,0.782,2.149
2026-02-05,CMP1000,Winter_Storm_Alert_Promo,Native,Quebec,0.851,22558,561.4,158.72,30.59,1007.46,7.04,0.283,6.347
2026-03-21,CMP1003,Severe_Weather_Awareness,Display,Ontario,0.352,88378,1396.6,1183.56,29.93,1876.74,13.39,0.847,1.586
2026-03-14,CMP1007,B2B_Partner_Coop,Video,British Columbia,0.557,69967,816.9,432.75,23.39,1443.41,6.19,0.53,3.335
2025-12-16,CMP1001,App_Download_Push,Search,British Columbia,0.729,18918,516.7,109.13,31.73,1469.6,5.77,0.211,13.466
2026-02-20,CMP1000,Winter_Storm_Alert_Promo,Search,British Columbia,0.916,40247,305.5,269.8,13.1,722.6,6.7,,2.678
2026-01-12,CMP1000,Winter_Storm_Alert_Promo,Video,Ontario,0.694,81387,1648.2,375.69,67.36,4016.72,4.62,0.228,10.692
2026-03-16,CMP1001,App_Download_Push,Native,Ontario,0.303,120258,1994.0,2743.02,130.15,4231.41,22.81,1.376,1.543
