user_id,signup_date,acquisition_channel,region,plan_type,avg_monthly_sessions,alerts_enabled,push_notifications_enabled,tenure_months,churned,churn_date,ltv_cad
U102030,2025-05-04,Search,Alberta,Plus,5.82,0,1,8.07,0,,160.9
U101066,2025-03-26,Search,Quebec,Plus,4.55,0,1,9.37,0,,122.36
U101958,2025-08-23,Organic,Ontario,Plus,5.99,0,0,4.37,0,,62.74
U101613,2024-11-06,Search,Ontario,Premium,1.7,1,0,14.03,0,,373.54
U100183,2024-06-14,Video,,Free,,1,0,18.87,0,,0.0
U102753,2025-03-30,Display,Ontario,Free,11.03,1,1,9.23,1,2025-11-22,0.0
U101220,2025-01-17,Search,Atlantic,Plus,6.55,1,1,11.63,0,,230.13
U101462,2025-05-08,Referral,Quebec,Free,2.37,1,1,7.93,0,,0.0
U101432,2025-11-15,Connected TV,Atlantic,Free,0.74,1,1,1.57,0,,0.0
U102920,2024-12-28,Search,Atlantic,Free,7.6,1,1,12.3,0,,0.0
U102987,2025-01-15,Display,Alberta,Plus,3.62,1,0,11.7,0,,163.88
U100416,2024-09-20,Search,Alberta,Plus,9.84,1,1,15.6,0,,160.6
U101125,2024-06-01,Referral,Ontario,Plus,11.35,0,0,19.3,0,,174.31
U100467,2025-07-22,Search,Quebec,Plus,6.31,0,0,5.43,0,,76.33
U102124,2024-07-11,Connected TV,Quebec,Plus,2.55,1,1,17.97,0,,117.96
U100050,2025-06-12,Organic,Ontario,Plus,9.44,0,1,6.77,0,,102.94
U101289,2025-09-22,Video,Atlantic,Free,2.79,0,1,3.37,0,,0.0
U102242,2025-07-18,Native,Quebec,Free,7.01,1,1,5.57,1,2025-12-10,0.0
U101989,2025-01-10,Video,British Columbia,Free,10.49,1,1,11.87,0,,0.0
U100953,2025-08-19,Video,British Columbia,Premium,12.65,0,0,4.5,0,,146.25
U102610,2024-09-27,Display,Ontario,Premium,2.19,0,0,15.37,0,,385.83
U100248,2024-06-14,Display,Quebec,Free,0.15,1,0,18.87,0,,0.0
U100100,2025-09-02,Organic,Ontario,Plus,17.9,1,1,4.03,0,,31.48
U102941,2025-05-15,Search,Quebec,Free,4.1,1,0,7.7,1,2025-12-20,0.0
U102033,2025-08-01,Display,Quebec,Plus,6.68,1,0,5.1,0,,58.0
U100523,2024-06-21,Connected TV,Atlantic,Plus,4.48,0,0,18.63,0,,231.48
U101040,2024-09-07,Referral,Ontario,Plus,9.29,0,1,16.03,1,2025-11-13,114.31
U101383,2025-01-05,Video,Quebec,Free,1.98,0,0,12.03,0,,0.0
U101161,2025-10-23,Display,Quebec,Free,7.85,1,0,2.33,0,,0.0
U102790,2024-11-01,Search,British Columbia,Free,6.3,1,0,14.2,0,,0.0
U100736,2025-08-31,Referral,British Columbia,Free,8.49,1,1,4.1,1,2025-10-02,0.0
U101521,2024-11-25,Organic,Ontario,Premium,21.69,0,1,13.4,0,,673.25
U102072,2024-06-10,Video,Ontario,Free,4.62,1,0,19.0,0,,0.0
U100415,2025-04-04,Search,Atlantic,Free,0.69,1,1,9.07,1,2025-10-23,0.0
U101807,2025-05-12,Search,Quebec,Plus,6.12,1,1,7.8,1,2025-07-04,17.29
U102395,2024-06-19,Video,Quebec,Free,10.57,1,0,18.7,0,,0.0
U100908,2024-07-24,Connected TV,Ontario,Free,5.58,1,0,17.53,0,,0.0
U100943,2025-01-13,Search,British Columbia,Free,4.63,1,1,11.77,0,,0.0
U102340,2025-04-25,Organic,Ontario,Free,4.69,1,0,8.37,0,,0.0
U100137,2024-12-23,Search,Ontario,Premium,6.55,0,0,12.47,0,,459.6
U102463,2025-07-18,Search,Alberta,Free,1.94,1,0,5.57,0,,0.0
U100905,2024-07-01,Search,Ontario,Plus,34.0,1,0,18.3,1,2025-11-16,276.03
U102133,2024-11-21,Search,Quebec,Plus,2.42,0,0,13.53,0,,187.39
U102225,2025-07-01,Connected TV,Alberta,Plus,9.19,1,0,6.13,0,,23.08
U102974,2025-11-28,Organic,Ontario,Plus,11.96,1,0,1.13,0,,9.59
U100536,2024-06-05,Search,Ontario,Plus,13.87,1,0,19.17,0,,213.81
U101869,2025-09-07,Search,Alberta,Free,10.49,0,1,3.87,0,,0.0
U102953,2024-07-19,Organic,Ontario,Plus,9.44,0,1,17.7,0,,268.38
U101933,2024-06-01,Organic,Atlantic,Premium,9.78,1,1,19.3,0,,596.77
U100133,2025-06-06,Organic,Ontario,Premium,7.62,0,0,6.97,0,,193.33
U102194,2025-09-22,Search,Ontario,Free,7.84,0,1,3.37,0,,0.0
U101671,2024-09-08,Organic,Ontario,Free,1.74,1,0,16.0,0,,0.0
U102896,2025-06-19,Native,Alberta,Free,17.12,1,1,6.53,0,,0.0
U100212,2025-01-22,Referral,British Columbia,Plus,9.44,1,0,11.47,0,,171.45
U101481,2025-11-22,Referral,Ontario,Free,6.66,0,0,1.33,1,2025-12-03,0.0
U101280,2025-10-24,Referral,Ontario,Plus,9.63,0,1,2.3,0,,30.36
U101020,2025-05-26,Native,Alberta,Free,11.81,1,1,7.33,1,2025-10-30,0.0
U102658,2024-07-14,Connected TV,Atlantic,Plus,2.19,0,1,17.87,0,,193.08
U100583,2024-10-23,Native,Ontario,Free,0.45,1,0,14.5,0,,0.0
U100465,2025-08-13,Organic,,Free,,1,0,4.7,0,,0.0
U101591,2025-04-10,Native,Alberta,Free,8.61,1,0,8.87,0,,0.0
U101230,2024-11-02,Search,British Columbia,Free,5.82,1,0,14.17,0,,0.0
U101162,2025-11-29,Display,Alberta,Free,1.63,0,1,1.1,0,,0.0
U101915,2024-08-12,Search,Quebec,Free,3.17,0,1,16.9,0,,0.0
U100532,2025-04-08,Video,Ontario,Plus,3.56,1,1,8.93,0,,108.45
U100794,2024-11-01,Display,Ontario,Plus,4.2,1,0,14.2,1,2025-07-24,129.52
U101490,2025-08-28,Display,Quebec,Plus,3.28,0,0,4.2,0,,54.89
U100774,2024-06-21,Organic,Quebec,Free,2.85,0,0,18.63,0,,0.0
U102767,2025-10-29,Organic,Ontario,Plus,2.29,1,1,2.13,0,,27.4
U101293,2025-10-09,Display,Ontario,Plus,10.42,1,0,2.8,1,2025-12-19,32.69
U101187,2025-02-07,Native,Ontario,Premium,3.42,0,1,10.93,0,,271.88
U100031,2025-04-23,Connected TV,Atlantic,Free,1.57,1,1,8.43,0,,0.0
U102167,2025-05-06,Search,Alberta,Free,1.98,1,1,8.0,1,2025-05-16,0.0
U100164,2024-06-02,Organic,,Free,,1,0,19.27,1,2025-10-28,
U100913,2025-02-09,Native,Ontario,Plus,2.58,1,1,10.87,0,,122.9
U100789,2025-08-10,Search,Atlantic,Premium,16.25,0,0,4.8,0,,120.84
U100949,2024-06-08,Organic,Atlantic,Free,10.6,1,1,19.07,0,,0.0
U101924,2025-09-15,Search,Quebec,Free,3.69,0,1,3.6,0,,0.0
U100412,2025-10-10,Display,Quebec,Plus,9.48,0,0,2.77,0,,26.31
U102301,2025-03-23,Search,Atlantic,Plus,11.48,1,1,9.47,0,,112.41
U101136,2024-10-14,Search,Ontario,Premium,6.16,1,1,14.8,1,2025-04-20,137.41
U102839,2025-11-17,Display,British Columbia,Free,12.56,1,0,1.5,0,,0.0
U101452,2025-05-16,Search,British Columbia,Premium,5.57,1,0,7.67,1,2025-11-06,233.52
U100181,2024-06-12,Referral,Quebec,Plus,16.05,1,1,18.93,0,,202.42
U100460,2025-02-12,Search,Quebec,Plus,9.77,1,1,10.77,0,,128.68
U102028,2025-07-15,Display,Quebec,Plus,4.61,0,0,5.67,0,,65.01
U102822,2024-10-23,Video,Alberta,Plus,3.71,0,1,14.5,0,,118.11
U100042,2024-12-08,Display,Alberta,Free,12.81,0,0,12.97,0,,0.0
U102256,2025-05-15,Organic,Quebec,Free,11.84,1,1,7.7,0,,0.0
U101801,2024-12-28,Display,Ontario,Free,9.77,1,0,12.3,0,,0.0
U102675,2025-01-21,Connected TV,British Columbia,Plus,13.51,1,1,11.5,0,,109.87
U102459,2024-12-27,Connected TV,Quebec,Free,0.63,0,0,12.33,0,,0.0
U100881,2024-07-14,Video,Atlantic,Free,0.35,1,1,17.87,0,,0.0
U101542,2024-06-11,Search,British Columbia,Free,2.87,0,1,18.97,0,,0.0
U102840,2025-10-18,Native,Ontario,Free,1.39,1,1,2.5,0,,0.0
U102478,2024-06-12,Organic,Quebec,Plus,9.42,0,1,18.93,0,,251.04
U100944,2024-06-21,Video,Ontario,Free,10.46,0,1,18.63,1,2025-01-20,0.0
U101961,2025-05-03,Video,British Columbia,Premium,11.37,1,1,8.1,0,,232.32
U100654,2025-05-18,Connected TV,British Columbia,Free,7.62,0,1,7.6,1,2025-10-05,0.0
U100436,2024-08-02,Connected TV,Ontario,Plus,1.85,1,1,17.23,0,,116.92
U102808,2025-02-07,Video,Alberta,Free,6.47,1,0,10.93,1,2025-03-19,0.0
U100198,2025-08-16,Search,Alberta,Free,5.95,0,0,4.6,1,2025-11-06,0.0
U101417,2025-09-19,Search,Atlantic,Plus,6.87,1,1,3.47,0,,42.13
U101890,2025-11-29,Search,Alberta,Premium,4.35,1,1,1.1,0,,44.29
U100419,2025-05-01,Connected TV,Quebec,Plus,0.91,1,1,8.17,1,2025-09-29,42.7
U100054,2024-11-13,Connected TV,Atlantic,Plus,6.42,0,1,13.8,0,,191.15
U100712,2025-03-09,Organic,Ontario,Plus,24.02,1,1,9.93,0,,167.02
U100524,2025-07-20,Display,Atlantic,Plus,4.9,1,1,5.5,0,,67.98
U101347,2025-07-04,Organic,Ontario,Plus,4.19,0,0,6.03,0,,50.99
U101650,2024-09-26,Display,Quebec,Free,4.99,0,1,15.4,0,,0.0
U100823,2025-04-28,Search,Ontario,Free,7.98,1,1,8.27,0,,0.0
U101952,2025-10-25,Display,Ontario,Free,2.62,1,0,2.27,0,,0.0
U102886,2024-11-21,Search,Ontario,Plus,3.0,1,0,13.53,0,,117.41
U102566,2025-09-24,Search,Alberta,Plus,5.68,1,0,3.3,0,,25.89
U101493,2025-09-23,Organic,British Columbia,Plus,9.34,0,1,3.33,0,,36.98
U102234,2024-09-17,Organic,British Columbia,Free,12.94,0,0,15.7,0,,0.0
U100492,2025-07-03,Organic,British Columbia,Plus,6.54,0,1,6.07,0,,78.24
U102845,2024-07-14,Display,Ontario,Plus,2.25,1,1,17.87,0,,183.77
U102016,2025-09-24,Display,Quebec,Premium,6.0,1,1,3.3,1,2025-10-27,52.37
U101969,2025-08-03,Native,Quebec,Free,2.44,1,0,5.03,0,,0.0
U102462,2025-03-21,Search,Ontario,Free,7.26,1,1,9.53,0,,0.0
U100874,2025-08-19,Video,Ontario,Free,7.13,1,1,4.5,0,,0.0
U101076,2025-03-08,Organic,British Columbia,Free,11.75,1,0,9.97,1,2025-08-19,0.0
U101421,2025-08-31,Connected TV,Quebec,Plus,4.84,1,1,4.1,0,,50.58
U100705,2025-09-03,Display,Ontario,Premium,11.64,0,1,4.0,1,2025-11-24,79.87
U102260,2024-12-10,Native,Atlantic,Premium,11.56,0,1,12.9,0,,444.39
U101386,2025-05-06,Referral,British Columbia,Plus,18.5,1,1,8.0,0,,121.39
U102111,2024-06-21,Search,British Columbia,Free,5.55,0,0,18.63,0,,0.0
U102231,2025-11-19,Organic,British Columbia,Free,14.26,1,0,1.43,0,,0.0
U101307,2024-10-22,Organic,Ontario,Free,5.14,1,0,14.53,0,,0.0
U100694,2024-06-21,Organic,Atlantic,Premium,2.72,1,1,18.63,0,,560.35
U100041,2025-04-27,Referral,Atlantic,Free,1.98,1,0,8.3,0,,0.0
U100064,2024-11-12,Referral,Ontario,Free,10.54,1,1,13.83,0,,0.0
U102127,2025-11-09,Organic,Alberta,Plus,2.09,0,1,1.77,0,,20.97
U102804,2025-10-19,Connected TV,Ontario,Free,7.34,1,1,2.47,1,2025-11-14,0.0
U101450,2025-05-31,Organic,,Free,,1,0,7.17,0,,0.0
U100372,2025-10-31,Search,Ontario,Free,0.93,1,0,2.07,1,2025-12-23,0.0
U101406,2024-08-07,Search,Ontario,Free,5.25,1,1,17.07,1,2025-12-07,0.0
U102131,2024-10-22,Video,Atlantic,Plus,2.69,1,1,14.53,0,,209.62
U100667,2025-02-27,Referral,Alberta,Free,12.46,1,1,10.27,1,2025-11-30,0.0
U101342,2025-09-13,Connected TV,Ontario,Plus,6.78,0,0,3.67,0,,36.21
U101875,2025-11-08,Referral,Alberta,Free,3.09,1,1,1.8,0,,0.0
U101259,2025-04-08,Organic,Ontario,Free,5.88,0,0,8.93,1,2025-05-28,0.0
U100341,2025-10-28,Search,Atlantic,Free,4.84,0,1,2.17,0,,0.0
U100551,2024-08-11,Organic,Atlantic,Plus,12.12,1,0,16.93,0,,272.63
U102156,2024-08-11,Video,Ontario,Premium,19.45,1,1,16.93,0,,384.32
U102086,2025-07-18,Search,Atlantic,Plus,4.92,0,0,5.57,1,2025-10-18,37.27
U101433,2024-08-18,Search,Ontario,Plus,2.36,1,1,16.7,1,2024-12-30,83.32
U100644,2024-12-23,Display,British Columbia,Free,8.64,1,0,12.47,0,,0.0
U101357,2025-04-26,Organic,Ontario,Free,19.4,1,1,8.33,0,,0.0
U101236,2024-08-05,Connected TV,Ontario,Free,12.16,1,1,17.13,1,2024-09-02,0.0
U102531,2024-08-14,Referral,Atlantic,Free,6.62,1,1,16.83,1,2024-10-16,0.0
U102554,2025-10-29,Display,Quebec,Free,12.3,1,1,2.13,1,2025-11-28,0.0
U100101,2024-07-02,Search,Quebec,Free,3.97,1,0,18.27,1,2024-10-05,0.0
U102515,2025-07-15,Display,Ontario,Plus,3.17,1,0,5.67,0,,57.42
U100921,2025-02-21,Search,Alberta,Free,3.2,1,0,10.47,0,,0.0
U100474,2024-06-16,Native,Alberta,Plus,5.77,1,1,18.8,0,,244.87
U101329,2025-08-04,Video,Ontario,Free,0.61,1,0,5.0,0,,0.0
U101892,2024-11-02,Search,Ontario,Free,4.76,0,1,14.17,1,2025-03-17,0.0
U102229,2025-11-18,Display,British Columbia,Plus,0.49,1,0,1.47,0,,22.85
U100445,2024-12-29,Referral,Ontario,Plus,9.62,1,0,12.27,0,,144.55
U100920,2025-08-18,Search,,Free,,0,1,4.53,0,,
U101343,2024-08-08,Display,Quebec,Free,8.11,1,0,17.03,0,,0.0
U101119,2025-03-22,Organic,Ontario,Free,16.72,0,1,9.5,0,,0.0
U100762,2024-07-21,Search,British Columbia,Free,1.97,1,1,17.63,0,,0.0
U102703,2024-08-11,Search,Alberta,Premium,12.97,0,1,16.93,0,,503.88
U100292,2024-06-15,Search,Ontario,Plus,4.31,0,1,18.83,0,,190.23
U101893,2025-10-25,Display,Ontario,Plus,5.75,1,0,2.27,0,,26.31
U102398,2024-06-12,Display,Ontario,Plus,5.5,1,1,18.93,0,,225.74
U101223,2025-11-28,Search,Ontario,Plus,0.91,1,1,1.13,0,,15.2
U101010,2024-09-16,Display,Alberta,FREE,5.06,1,1,15.73,0,,0.0
U100844,2024-11-02,Organic,Ontario,Free,5.61,1,1,14.17,1,2025-07-10,0.0
U100783,2025-05-25,Video,Quebec,Free,6.51,1,1,7.37,1,2025-10-06,0.0
U100879,2025-06-25,Organic,Ontario,Plus,11.5,1,0,6.33,0,,46.15
U100225,2024-10-11,Organic,Ontario,Plus,1.71,1,0,14.9,0,,163.33
U101523,2024-09-04,Native,Ontario,Plus,0.36,0,0,16.13,1,2025-11-03,170.07
U100311,2025-06-28,Native,British Columbia,Free,7.85,1,1,6.23,0,,0.0
U100178,2025-02-27,Organic,Quebec,Free,4.35,0,0,10.27,1,2025-04-10,0.0
U102853,2025-01-15,Display,Ontario,Plus,5.34,1,1,11.7,0,,153.18
U100299,2025-03-26,Search,Ontario,Plus,7.47,1,1,9.37,0,,95.52
U101242,2025-02-16,Referral,Ontario,Free,6.84,0,1,10.63,0,,0.0
U101711,2024-12-14,Video,Quebec,Free,9.63,0,0,12.77,1,2025-08-28,0.0
U101815,2024-12-02,Referral,Quebec,Free,0.85,1,1,13.17,0,,0.0
U100358,2025-07-18,Organic,Ontario,Free,2.84,0,1,5.57,1,2025-08-28,0.0
U102501,2024-09-27,Referral,Ontario,Free,17.35,1,0,15.37,0,,0.0
U102734,2025-03-16,Search,Alberta,Premium,10.19,0,1,9.7,0,,328.23
U102096,2025-08-06,Search,Quebec,Free,6.76,1,0,4.93,0,,0.0
U101101,2024-08-02,Organic,Quebec,Premium,5.84,1,0,17.23,0,,518.99
U102039,2025-04-22,Referral,Quebec,Free,4.33,1,0,8.47,1,2025-12-03,0.0
U100732,2025-02-15,Organic,Ontario,Premium,1.86,1,0,10.67,0,,392.61
U102230,2025-02-23,Display,Ontario,Premium,7.14,0,0,10.4,0,,277.67
U102123,2024-08-30,Video,Alberta,Free,3.18,0,0,16.3,0,,0.0
U100371,2025-02-18,Video,Atlantic,Free,4.99,1,0,10.57,1,2025-06-26,0.0
U101504,2025-08-12,Search,Quebec,Free,4.28,1,0,4.73,1,2025-08-27,0.0
U100945,2024-08-30,Search,Alberta,Free,11.29,1,1,16.3,0,,0.0
U100340,2025-10-11,Display,Ontario,Free,5.64,1,0,2.73,0,,0.0
U100869,2025-01-11,Referral,Ontario,Free,10.53,0,0,11.83,0,,0.0
U100651,2024-09-10,Search,Alberta,Free,2.1,1,0,15.93,0,,0.0
U101934,2025-07-02,Organic,Alberta,Premium,12.7,1,0,6.1,0,,157.37
U101276,2024-07-14,Search,Atlantic,Free,2.03,0,1,17.87,1,2025-09-07,0.0
U102429,2024-12-05,Referral,Alberta,Free,16.68,1,1,13.07,1,2025-04-22,0.0
U102869,2025-06-21,Search,Atlantic,Free,3.82,1,1,6.47,0,,0.0
U102700,2025-05-21,Display,Ontario,Free,4.9,1,1,7.5,1,2025-11-13,0.0
U101175,2025-11-13,Display,Alberta,Premium,18.88,1,1,1.63,1,2025-12-25,42.48
U101758,2025-09-09,Search,Ontario,Free,6.54,1,0,3.8,0,,0.0
U102506,2025-04-18,Display,Ontario,Free,3.94,1,0,8.6,0,,0.0
U101546,2025-08-25,Display,Quebec,Plus,3.82,1,1,4.3,0,,66.29
U100148,2025-11-12,Organic,Quebec,Plus,3.44,0,0,1.67,0,,26.1
U100417,2025-08-18,Organic,Alberta,Free,5.09,1,1,4.53,0,,0.0
U100811,2025-11-01,Connected TV,British Columbia,Free,3.24,0,1,2.03,1,2025-11-15,0.0
U100180,2024-06-28,Connected TV,Atlantic,Free,2.93,1,0,18.4,1,2025-09-18,0.0
